cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
348,0,0,9,0.311,384,11,0.888,1
190,0,0,3,0.546,348,11,0.888,1
285,0,0,3,0.067,397,11,0.943,1
346,0,0,10,0.231,415,11,0.943,1
207,0,0,10,0.227,391,11,0.888,1
316,0,0,10,0.067,410,11,0.888,1
285,0,0,9,0.242,410,11,0.888,1
263,0,0,3,0.311,382,11,0.943,1
411,0,0,10,0.068,406,11,0.943,1
310,0,0,9,0.12,391,11,0.943,1
342,0,0,9,0.215,391,11,0.943,1
304,0,0,9,0.155,417,11,0.888,1
343,0,0,10,0.027,396,11,0.943,1
235,0,0,3,0.303,367,11,0.943,1
407,0,0,10,0.29,437,11,0.943,1
321,0,0,10,0.406,374,11,0.888,1
289,0,0,3,0.148,395,11,0.943,1
256,0,0,10,0.214,411,11,0.943,1
202,0,0,9,0.036,396,11,0.888,1
367,0,0,3,0.314,442,11,0.943,1
303,0,0,9,0.063,376,11,0.943,1
266,0,0,3,0.168,377,11,0.888,1
338,0,0,3,0.052,397,11,0.943,1
265,0,0,3,0.287,381,11,0.943,1
349,0,0,3,0.422,410,11,0.943,1
239,0,0,3,0.486,376,11,0.888,1
321,0,0,9,0.258,409,11,0.943,1
333,0,0,3,0.06,404,11,0.943,1
277,0,0,10,0.144,401,11,0.888,1
282,0,0,10,0.271,407,11,0.943,1
256,0,0,10,0.087,398,11,0.943,1
271,0,0,10,0.195,411,11,0.888,1
363,0,0,3,0.124,390,11,0.888,1
244,0,0,10,0.055,415,11,0.888,1
295,0,0,3,0.254,398,11,0.888,1
231,0,0,3,0.327,395,11,0.943,1
284,0,0,9,0.023,387,11,0.888,1
226,0,0,10,0.426,370,11,0.943,1
295,0,0,10,0.307,397,11,0.943,1
298,0,0,3,0.343,388,11,0.943,1
264,0,0,3,0.123,388,11,0.888,1
331,0,0,10,0,417,11,0.943,1
275,0,0,3,0.366,385,11,0.888,1
305,0,0,3,0.072,399,11,0.943,1
257,0,0,3,0.275,406,11,0.888,1
343,0,0,3,0.315,400,11,0.888,1
336,0,0,9,0.25,402,11,0.888,1
287,0,0,10,0.502,395,11,0.943,1
335,0,0,10,0.148,384,11,0.888,1
387,0,0,9,0.238,413,11,0.943,1
299,0,0,3,0.004,392,11,0.943,1
286,0,0,9,0.059,403,11,0.888,1
269,0,0,9,0.055,402,11,0.943,1
245,0,0,9,0.063,405,11,0.888,1
226,0,0,10,0.223,380,11,0.943,1
316,0,0,3,0.478,362,11,0.943,1
244,0,0,9,0.279,371,11,0.943,1
221,0,0,10,0.283,388,11,0.888,1
254,0,0,10,0.303,390,11,0.943,1
281,0,0,3,0.084,392,11,0.888,1
357,0,0,10,0.063,397,11,0.888,1
315,0,0,10,0.295,372,11,0.943,1
362,0,0,9,0.199,401,11,0.888,1
334,0,0,9,0.302,398,11,0.888,1
299,0,0,9,0.234,401,11,0.943,1
240,0,0,9,0.414,386,11,0.943,1
288,0,0,9,0.152,413,11,0.888,1
318,0,0,10,0.163,394,11,0.943,1
363,0,0,3,0.203,398,11,0.888,1
280,0,0,9,0.498,398,11,0.943,1
335,0,0,10,0.055,423,11,0.888,1
296,0,0,9,0.323,403,11,0.943,1
251,0,0,10,0.418,384,11,0.943,1
344,0,0,9,0.035,393,11,0.943,1
343,0,0,9,0.064,400,11,0.943,1
372,0,0,3,0.131,400,11,0.888,1
323,0,0,9,0.031,401,11,0.943,1
230,0,0,3,0.836,348,11,0.888,1
298,0,0,9,0.199,401,11,0.888,1
339,0,0,3,0.234,393,11,0.943,1
357,0,0,3,0.116,393,11,0.888,1
281,0,0,10,0.43,390,11,0.888,1
215,0,0,3,0.426,376,11,0.943,1
416,0,0,3,0.172,415,11,0.888,1
233,0,0,10,0.096,386,11,0.888,1
402,0,0,10,0.238,406,11,0.943,1
337,0,0,3,0.031,405,11,0.943,1
301,0,0,9,0.514,377,11,0.888,1
249,0,0,3,0.132,380,11,0.888,1
334,0,0,10,0.331,379,11,0.888,1
327,0,0,10,0.334,407,11,0.943,1
303,0,0,9,0.092,392,11,0.888,1
300,0,0,9,0.187,415,11,0.888,1
165,0,0,3,0.319,365,11,0.888,1
243,0,0,10,0.231,401,11,0.943,1
300,0,0,9,0.203,392,11,0.888,1
322,0,0,3,0.207,420,11,0.888,1
218,0,0,9,0.291,387,11,0.943,1
293,0,0,9,0.482,378,11,0.888,1
262,0,0,10,0.176,388,11,0.943,1
335,0,0,10,0.176,411,11,0.943,1
253,0,0,9,0.49,384,11,0.943,1
250,0,0,10,0.339,378,11,0.943,1
328,0,0,10,0.139,417,11,0.943,1
364,0,0,9,0.115,392,11,0.888,1
317,0,0,9,0.156,396,11,0.943,1
237,0,0,10,0.127,405,11,0.888,1
321,0,0,10,0.35,422,11,0.943,1
327,0,0,9,0.148,395,11,0.943,1
296,0,0,3,0.028,402,11,0.943,1
345,0,0,10,0.632,421,11,0.943,1
304,0,0,3,0.518,382,11,0.943,1
267,0,0,9,0.148,397,11,0.943,1
307,0,0,3,0.019,407,11,0.888,1
325,0,0,3,0.139,403,11,0.943,1
303,0,0,10,0.179,388,11,0.888,1
353,0,0,10,0.191,414,11,0.943,1
328,0,0,10,0.027,394,11,0.943,1
272,0,0,9,0.059,410,11,0.888,1
318,0,0,10,0.02,385,11,0.943,1
211,0,0,3,0.247,366,11,0.943,1
326,0,0,9,0.124,404,11,0.943,1
359,0,0,9,0.33,406,11,0.943,1
356,0,0,9,0.116,401,11,0.943,1
254,0,0,9,0.111,409,11,0.943,1
423,0,0,3,0.238,421,11,0.888,1
286,0,0,3,0.315,390,11,0.888,1
239,0,0,10,0.191,380,11,0.943,1
331,0,0,9,0.291,387,11,0.943,1
327,0,0,10,0.072,398,11,0.888,1
207,0,0,3,0.446,367,11,0.888,1
262,0,0,9,0.124,397,11,0.888,1
310,0,0,10,0.362,406,11,0.943,1
173,0,0,9,0.279,395,11,0.888,1
377,0,0,9,0.135,412,11,0.888,1
262,0,0,9,0.048,389,11,0.943,1
273,0,0,9,0.099,400,11,0.888,1
316,0,0,3,0.148,401,11,0.943,1
190,0,0,3,0.573,358,11,0.888,1
267,0,0,10,0.454,380,11,0.888,1
279,0,0,3,0.124,394,11,0.888,1
183,0,0,3,0.144,372,11,0.888,1
274,0,0,9,0.426,395,11,0.943,1
321,0,0,10,0.008,410,11,0.943,1
338,0,0,10,0.119,420,11,0.943,1
331,0,0,10,0.16,391,11,0.943,1
279,0,0,10,0.183,405,11,0.943,1
336,0,0,9,0.37,398,11,0.943,1
299,0,0,3,0.036,394,11,0.943,1
349,0,0,3,0.123,395,11,0.943,1
303,0,0,3,0.027,408,11,0.888,1
299,0,0,10,0.327,391,11,0.943,1
288,0,0,3,0.103,429,11,0.888,1
292,0,0,9,0.1,388,11,0.943,1
354,0,0,3,0.266,418,11,0.943,1
307,0,0,9,0.298,417,11,0.888,1
313,0,0,9,0.176,380,11,0.943,1
337,0,0,9,0.079,396,11,0.888,1
327,0,0,10,0.175,414,11,0.888,1
275,0,0,3,0.238,414,11,0.888,1
298,0,0,3,0.08,359,11,0.888,1
333,0,0,9,0.167,390,11,0.888,1
260,0,0,9,0.522,367,11,0.888,1
219,0,0,3,0.303,380,11,0.888,1
244,0,0,9,0.136,396,11,0.943,1
356,0,0,10,0.529,406,11,0.943,1
235,0,0,10,0.597,363,11,0.943,1
297,0,0,10,0.39,375,11,0.943,1
304,0,0,9,0.02,398,11,0.888,1
392,0,0,9,0.008,419,11,0.943,1
364,0,0,9,0.27,421,11,0.943,1
322,0,0,3,0.144,403,11,0.888,1
295,0,0,9,0.083,422,11,0.888,1
361,0,0,10,0.164,390,11,0.888,1
286,0,0,10,0.008,401,11,0.943,1
289,0,0,3,0.172,383,11,0.943,1
400,0,0,10,0.33,408,11,0.943,1
229,0,0,9,0.251,378,11,0.943,1
256,0,0,9,0.311,380,11,0.943,1
361,0,0,10,0.072,404,11,0.888,1
266,0,0,3,0.311,392,11,0.943,1
371,0,0,3,0.23,393,11,0.943,1
286,0,0,9,0.211,390,11,0.888,1
357,0,0,3,0.119,394,11,0.888,1
345,0,0,9,0.104,410,11,0.943,1
338,0,0,3,0.076,412,11,0.943,1
313,0,0,10,0.155,393,11,0.943,1
317,0,0,10,0.068,396,11,0.943,1
355,0,0,3,0.044,410,11,0.888,1
348,0,0,3,0.481,422,11,0.943,1
318,0,0,9,0.323,405,11,0.943,1
295,0,0,9,0.104,386,11,0.888,1
289,0,0,10,0.152,401,11,0.943,1
279,0,0,10,0.052,382,11,0.888,1
216,0,0,10,0.144,384,11,0.943,1
274,0,0,10,0.024,390,11,0.888,1
335,0,0,9,0.211,392,11,0.888,1
201,0,0,10,0.486,374,11,0.888,1
325,0,0,9,0.175,401,11,0.943,1
255,0,0,9,0.044,398,11,0.943,1
357,0,0,3,0.179,408,11,0.943,1
239,0,0,10,0.1,375,11,0.888,1
344,0,0,9,0.116,404,11,0.943,1
272,0,0,9,0.581,369,11,0.888,1
239,0,0,10,0.128,380,11,0.943,1
312,0,0,9,0.307,376,11,0.943,1
337,0,0,10,0.179,396,11,0.888,1
320,0,0,3,0.163,418,11,0.888,1
354,0,0,10,0.326,409,11,0.943,1
354,0,0,9,0.008,416,11,0.888,1
305,0,0,9,0.103,383,11,0.943,1
405,0,0,3,0.6,433,11,0.943,1
361,0,0,10,0.199,400,11,0.943,1
198,0,0,3,0.152,390,11,0.943,1
310,0,0,10,0.04,394,11,0.943,1
235,0,0,10,0.359,377,11,0.943,1
368,0,0,10,0.648,428,11,0.943,1
280,0,0,9,0.064,399,11,0.943,1
274,0,0,3,0.231,392,11,0.888,1
374,0,0,9,0.27,426,11,0.943,1
366,0,0,10,0.31,414,11,0.888,1
360,0,0,10,0.354,395,11,0.888,1
250,0,0,3,0.227,408,11,0.943,1
437,0,0,3,0.116,406,11,0.888,1
372,0,0,3,0.008,404,11,0.943,1
308,0,0,3,0.124,382,11,0.888,1
304,0,0,3,0.004,400,11,0.888,1
320,0,0,9,0.339,402,11,0.888,1
364,0,0,10,0.096,403,11,0.943,1
285,0,0,3,0.442,376,11,0.943,1
238,0,0,3,0.315,393,11,0.943,1
321,0,0,9,0.004,386,11,0.888,1
291,0,0,10,0.335,393,11,0.943,1
342,0,0,10,0.092,382,11,0.943,1
366,0,0,3,0.116,405,11,0.888,1
269,0,0,3,0.076,401,11,0.888,1
228,0,0,3,0.207,389,11,0.888,1
331,0,0,10,0.075,406,11,0.888,1
366,0,0,10,0.163,409,11,0.888,1
238,0,0,9,0.283,378,11,0.888,1
294,0,0,10,0.164,401,11,0.888,1
269,0,0,3,0.255,370,11,0.943,1
351,0,0,9,0.087,412,11,0.943,1
367,0,0,9,0.096,404,11,0.943,1
315,0,0,3,0.032,398,11,0.888,1
346,0,0,10,0.124,405,11,0.943,1
226,0,0,10,0.303,373,11,0.888,1
351,0,0,9,0.043,387,11,0.888,1
389,0,0,3,0.294,415,11,0.888,1
353,0,0,9,0.156,383,11,0.888,1
245,0,0,3,0.649,357,11,0.943,1
265,0,0,3,0.291,376,11,0.888,1
303,0,0,3,0.315,393,11,0.888,1
295,0,0,9,0.052,400,11,0.943,1
316,0,0,10,0.019,410,11,0.943,1
357,0,0,9,0.039,415,11,0.943,1
322,0,0,3,0.199,398,11,0.888,1
264,0,0,3,0.207,375,11,0.943,1
300,0,0,10,0.068,404,11,0.943,1
197,0,0,4,0.06,206,11,1.804,0
187,0,0,4,0.075,244,11,0.888,0
251,0,0,4,0.274,272,11,1.804,0
222,0,0,5,0.055,256,11,0.888,0
262,0,0,5,0.219,192,11,0.027,0
276,0,0,5,0.096,200,11,1.804,0
249,0,0,5,0.278,268,11,1.804,0
255,0,0,4,0.167,277,11,1.804,0
246,0,0,4,0.23,267,11,0.943,0
244,0,0,4,0.071,243,11,0.888,0
241,0,0,5,0.019,251,11,0.943,0
319,0,0,4,0.397,283,11,0.888,0
254,0,0,4,0.004,265,11,0.943,0
220,0,0,4,0.127,232,11,1.804,0
303,0,0,5,0.493,279,11,1.804,0
246,0,0,5,0.565,313,11,0.943,0
220,0,0,4,0.131,244,11,0.027,0
314,0,0,4,0.457,314,11,0.943,0
280,0,0,5,0.02,230,11,1.804,0
260,0,0,4,0.327,229,11,0.943,0
199,0,0,4,0.079,204,11,0.888,0
258,0,0,4,0.019,214,11,0.943,0
215,0,0,5,0.004,198,11,0.027,0
278,0,0,5,0.012,204,11,1.804,0
230,0,0,5,0.207,226,11,1.804,0
261,0,0,4,0.071,295,11,0.943,0
260,0,0,4,0.334,300,11,0.943,0
242,0,0,5,0.143,218,11,0.888,0
238,0,0,4,0.091,280,11,0.888,0
268,0,0,5,0.107,259,11,0.027,0
220,0,0,4,0.159,263,11,0.888,0
229,0,0,5,0.355,199,11,0.943,0
267,0,0,4,0.103,254,11,0.027,0
249,0,0,5,0.019,249,11,1.804,0
279,0,0,5,0.266,252,11,0.943,0
210,0,0,4,0.012,229,11,0.888,0
256,0,0,5,0.326,278,11,1.804,0
236,0,0,4,0.124,271,11,0.888,0
191,0,0,4,0.402,166,11,1.804,0
232,0,0,4,0.12,173,11,0.888,0
224,0,0,5,0.282,285,11,0.027,0
180,0,0,4,0.124,247,11,0.027,0
276,0,0,4,0.191,310,11,0.888,0
243,0,0,5,0.306,236,11,0.943,0
238,0,0,4,0.139,230,11,0.943,0
205,0,0,4,0.048,175,11,1.804,0
250,0,0,5,0.457,275,11,0.888,0
215,0,0,5,0.302,278,11,0.027,0
303,0,0,4,0.326,271,11,0.027,0
263,0,0,5,0.358,291,11,0.888,0
259,0,0,5,0.163,218,11,0.027,0
291,0,0,4,0.318,279,11,1.804,0
272,0,0,5,0.068,216,11,1.804,0
315,0,0,4,0.135,231,11,1.804,0
230,0,0,4,0.163,254,11,0.888,0
221,0,0,4,0.409,252,11,0.027,0
199,0,0,5,0.147,254,11,0.943,0
198,0,0,4,0.152,201,11,1.804,0
237,0,0,5,0.072,247,11,0.888,0
242,0,0,5,0.083,279,11,0.027,0
259,0,0,4,0.338,250,11,0.027,0
274,0,0,5,0.004,233,11,0.888,0
212,0,0,4,0.071,263,11,1.804,0
188,0,0,5,0.096,196,11,0.888,0
267,0,0,4,0.143,237,11,1.804,0
303,0,0,4,0.199,280,11,0.888,0
259,0,0,5,0.143,244,11,0.888,0
224,0,0,5,0,256,11,1.804,0
252,0,0,5,0.087,215,11,0.027,0
227,0,0,5,0.203,237,11,0.888,0
261,0,0,5,0.254,241,11,0.888,0
271,0,0,4,0.035,237,11,0.943,0
282,0,0,4,0.306,283,11,0.943,0
233,0,0,4,0.175,283,11,0.943,0
287,0,0,4,0.095,240,11,1.804,0
297,0,0,5,0.254,274,11,1.804,0
241,0,0,4,0.171,235,11,0.027,0
236,0,0,4,0.151,250,11,0.888,0
271,0,0,5,0.004,219,11,0.888,0
252,0,0,5,0.413,292,11,0.943,0
284,0,0,5,0.437,290,11,1.804,0
209,0,0,4,0.092,210,11,0.027,0
196,0,0,5,0.152,196,11,0.027,0
277,0,0,5,0.159,248,11,0.027,0
247,0,0,5,0.183,199,11,0.027,0
201,0,0,4,0.036,224,11,1.804,0
222,0,0,5,0.075,231,11,0.888,0
250,0,0,4,0.155,282,11,0.943,0
272,0,0,4,0.012,267,11,1.804,0
250,0,0,5,0.318,310,11,1.804,0
297,0,0,4,0.393,266,11,0.943,0
276,0,0,5,0.338,283,11,0.027,0
271,0,0,4,0.131,265,11,0.943,0
269,0,0,4,0.163,269,11,1.804,0
294,0,0,5,0.191,283,11,1.804,0
215,0,0,4,0.171,290,11,0.027,0
271,0,0,4,0.29,246,11,0.888,0
270,0,0,5,0.056,268,11,0.888,0
250,0,0,5,0.028,275,11,0.943,0
333,0,0,5,0.306,292,11,0.027,0
255,0,0,4,0.183,177,11,0.943,0
267,0,0,5,0.143,264,11,0.027,0
257,0,0,5,0.087,249,11,0.943,0
330,0,0,4,0.095,272,11,0.943,0
255,0,0,4,0.218,210,11,0.943,0
261,0,0,4,0.051,236,11,0.027,0
255,0,0,5,0.175,246,11,0.027,0
221,0,0,5,0.052,177,11,0.027,0
310,0,0,5,0.068,245,11,0.943,0
254,0,0,4,0.143,245,11,0.943,0
259,0,0,5,0.055,218,11,0.027,0
281,0,0,4,0.031,247,11,0.943,0
290,0,0,4,0.405,347,11,0.027,0
266,0,0,4,0.139,230,11,0.888,0
247,0,0,5,0.187,278,11,0.027,0
280,0,0,4,0.6,307,11,0.943,0
304,0,0,4,0.27,308,11,0.888,0
330,0,0,5,0.521,291,11,0.943,0
231,0,0,4,0.004,225,11,0.027,0
294,0,0,5,0.103,268,11,0.943,0
298,0,0,4,0.131,231,11,0.943,0
278,0,0,5,0.195,259,11,0.888,0
294,0,0,5,0.421,284,11,0.943,0
261,0,0,4,0.203,270,11,0.888,0
291,0,0,4,0.266,231,11,0.027,0
234,0,0,4,0.043,261,11,0.943,0
242,0,0,4,0.008,220,11,0.888,0
269,0,0,4,0.103,210,11,0.943,0
259,0,0,4,0.242,266,11,0.943,0
242,0,0,5,0.453,280,11,0.027,0
287,0,0,5,0.282,233,11,0.943,0
255,0,0,5,0.023,227,11,0.027,0
252,0,0,5,0.032,231,11,0.027,0
230,0,0,5,0.199,210,11,0.943,0
232,0,0,4,0.155,253,11,1.804,0
249,0,0,4,0.179,189,11,0.943,0
260,0,0,4,0.043,250,11,1.804,0
240,0,0,4,0.199,219,11,0.888,0
278,0,0,5,0.437,284,11,1.804,0
219,0,0,4,0.091,236,11,1.804,0
308,0,0,5,0.39,288,11,1.804,0
255,0,0,5,0.132,175,11,0.888,0
268,0,0,5,0.23,246,11,0.943,0
207,0,0,4,0.183,222,11,0.027,0
262,0,0,5,0.215,196,11,1.804,0
259,0,0,4,0.346,243,11,0.027,0
255,0,0,5,0.179,251,11,1.804,0
216,0,0,4,0.104,243,11,0.888,0
201,0,0,5,0.052,237,11,0.027,0
239,0,0,4,0.147,227,11,1.804,0
273,0,0,4,0.167,295,11,0.888,0
266,0,0,5,0.254,266,11,0.027,0
207,0,0,5,0.016,230,11,0.888,0
242,0,0,4,0.071,217,11,0.888,0
245,0,0,5,0.171,241,11,1.804,0
228,0,0,4,0.215,203,11,0.027,0
255,0,0,5,0.128,164,11,0.888,0
228,0,0,5,0.068,193,11,0.943,0
268,0,0,5,0.322,263,11,0.943,0
298,0,0,4,0.226,282,11,0.888,0
254,0,0,4,0.027,268,11,0.888,0
262,0,0,4,0.103,260,11,0.027,0
267,0,0,4,0.044,240,11,1.804,0
233,0,0,4,0.23,283,11,0.888,0
265,0,0,5,0.592,275,11,0.027,0
243,0,0,5,0.027,212,11,0.888,0
267,0,0,4,0.123,224,11,0.943,0
270,0,0,4,0.044,285,11,0.027,0
250,0,0,5,0.108,256,11,0.943,0
190,0,0,5,0.172,224,11,0.027,0
277,0,0,4,0.124,238,11,0.888,0
267,0,0,4,0.234,257,11,1.804,0
197,0,0,5,0.068,203,11,0.888,0
226,0,0,4,0.222,263,11,0.027,0
297,0,0,5,0.191,231,11,0.888,0
218,0,0,5,0.016,238,11,0.888,0
255,0,0,5,0.266,236,11,0.027,0
288,0,0,4,0.25,248,11,0.943,0
153,0,0,5,0.227,213,11,0.943,0
216,0,0,5,0.143,264,11,0.943,0
229,0,0,4,0.295,220,11,0.943,0
252,0,0,5,0.127,230,11,0.943,0
244,0,0,5,0.282,229,11,0.943,0
262,0,0,4,0.322,289,11,0.888,0
196,0,0,5,0.267,237,11,0.027,0
291,0,0,4,0.254,228,11,1.804,0
256,0,0,4,0.334,295,11,0.027,0
255,0,0,5,0.068,194,11,0.888,0
234,0,0,5,0.238,234,11,0.027,0
282,0,0,4,0.29,294,11,1.804,0
359,0,0,4,0.397,268,11,0.027,0
253,0,0,4,0.012,266,11,0.888,0
203,0,0,4,0.152,249,11,0.027,0
252,0,0,4,0.179,226,11,0.027,0
212,0,0,4,0.031,216,11,0.888,0
292,0,0,5,0.409,273,11,1.804,0
237,0,0,5,0.06,224,11,1.804,0
233,0,0,5,0.12,277,11,0.943,0
272,0,0,5,0.063,255,11,0.888,0
281,0,0,4,0.262,236,11,0.027,0
234,0,0,5,0.331,196,11,0.943,0
236,0,0,5,0.171,242,11,0.943,0
259,0,0,4,0.012,219,11,0.888,0
273,0,0,4,0.155,253,11,0.943,0
225,0,0,4,0.291,204,11,0.027,0
245,0,0,4,0.032,213,11,0.943,0
289,0,0,4,0.218,246,11,0.888,0
280,0,0,5,0.052,255,11,0.888,0
299,0,0,4,0.079,258,11,1.804,0
309,0,0,4,0.152,199,11,0.888,0
334,0,0,4,0.286,281,11,0.027,0
234,0,0,5,0.176,227,11,1.804,0
252,0,0,5,0.06,204,11,0.888,0
244,0,0,4,0.374,280,11,0.888,0
268,0,0,5,0.238,275,11,0.943,0
257,0,0,5,0.072,231,11,0.888,0
202,0,0,4,0.179,250,11,0.027,0
273,0,0,4,0.075,228,11,0.888,0
273,0,0,5,0.159,247,11,0.027,0
245,0,0,4,0.222,221,11,1.804,0
270,0,0,4,0.271,194,11,0.027,0
272,0,0,5,0.246,247,11,0.888,0
233,0,0,4,0.262,265,11,1.804,0
260,0,0,4,0.151,273,11,0.943,0
238,0,0,4,0.358,253,11,0.888,0
247,0,0,4,0.461,272,11,0.943,0
288,0,0,4,0.012,218,11,1.804,0
288,0,0,5,0,247,11,1.804,0
331,0,0,5,0.25,242,11,0.943,0
257,0,0,4,0.286,224,11,0.888,0
225,0,0,5,0.087,211,11,0.943,0
262,0,0,4,0.21,231,11,1.804,0
253,0,0,4,0.023,256,11,0.943,0
322,0,0,4,0.048,244,11,1.804,0
302,0,0,5,0.123,249,11,0.027,0
269,0,0,4,0.234,207,11,0.888,0
287,0,0,4,0.386,305,11,0.027,0
265,0,0,5,0.393,309,11,0.027,0
259,0,0,4,0.314,258,11,0.943,0
227,0,0,4,0.06,230,11,0.888,0
290,0,0,4,0.31,259,11,0.943,0
259,0,0,5,0.107,285,11,0.027,0
229,0,0,4,0.048,238,11,0.888,0
241,0,0,5,0.008,225,11,1.804,0
240,0,0,5,0.044,241,11,0.027,0
274,0,0,4,0.23,245,11,1.804,0
266,0,0,4,0.019,254,11,0.888,0
211,0,0,5,0.242,262,11,0.888,0
285,0,0,5,0.242,236,11,0.027,0
257,0,0,4,0.362,251,11,0.027,0
316,0,0,4,0.175,227,11,0.888,0
288,0,0,4,0.008,259,11,1.804,0
233,0,0,5,0.335,182,11,0.888,0
194,0,0,5,0.052,213,11,0.888,0
306,0,0,4,0.286,290,11,0.943,0
249,0,0,5,0.175,254,11,0.027,0
260,0,0,4,0.314,333,11,0.027,0
312,0,0,5,0.31,285,11,0.943,0
305,0,0,4,0.262,283,11,0.027,0
278,0,0,5,0.143,301,11,1.804,0
234,0,0,4,0.044,227,11,0.888,0
255,0,0,4,0.115,210,11,0.027,0
247,0,0,4,0.067,260,11,0.943,0
253,0,0,5,0.02,255,11,0.943,0
217,0,0,4,0.048,231,11,0.888,0
238,0,0,4,0.083,255,11,0.943,0
291,0,0,5,0.278,269,11,0.027,0
192,0,0,5,0.115,221,11,0.027,0
256,0,0,5,0.151,245,11,0.027,0
200,0,0,4,0.247,187,11,0.943,0
314,0,0,4,0.561,311,11,1.804,0
381,0,0,5,0.37,316,11,0.027,0
218,0,0,4,0.429,254,11,0.943,0
320,0,0,4,0.278,268,11,0.027,0
249,0,0,4,0.067,266,11,0.888,0
204,0,0,4,0.028,232,11,1.804,0
241,0,0,5,0.187,244,11,0.888,0
331,0,0,5,0.696,324,11,0.027,0
262,0,0,4,0.533,277,11,0.888,0
264,0,0,5,0.457,280,11,0.943,0
209,0,0,5,0.238,206,11,0.888,0
285,0,0,4,0.374,281,11,0.943,0
241,0,0,5,0.306,249,11,0.888,0
265,0,0,4,0.274,296,11,1.804,0
265,0,0,5,0.095,235,11,1.804,0
287,0,0,5,0.019,258,11,0.888,0
228,0,0,4,0.29,278,11,0.943,0
266,0,0,4,0.135,222,11,0.888,0
242,0,0,4,0.064,254,11,0.888,0
202,0,0,4,0.267,221,11,0.027,0
221,0,0,5,0.096,213,11,0.027,0
234,0,0,4,0.445,265,11,0.027,0
