Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
1204,6.90,0.40,0.22,5.95,0.08,76.00,303.00,1.00,3.40,0.57,9.40,5,White Wine
6120,7.00,0.29,0.37,1.60,0.04,34.00,126.00,0.99,3.26,0.47,12.30,6,White Wine
3918,7.60,0.90,0.06,2.50,0.08,5.00,10.00,1.00,3.39,0.56,9.80,5,Red Wine
1167,5.70,0.21,0.37,4.50,0.04,58.00,140.00,0.99,3.29,0.62,10.60,6,White Wine
1684,6.70,0.16,0.49,2.40,0.05,57.00,187.00,1.00,3.62,0.81,10.40,6,White Wine
3299,4.90,0.34,0.34,1.00,0.07,32.00,143.00,0.99,3.24,0.40,10.10,5,White Wine
2767,6.10,0.27,0.44,6.70,0.04,61.00,230.00,1.00,3.12,0.40,8.90,5,White Wine
2957,7.90,0.42,0.49,8.20,0.06,32.00,164.00,1.00,3.29,0.60,11.20,7,White Wine
4469,7.10,0.21,0.72,1.60,0.17,65.00,120.00,0.99,2.97,0.51,9.20,5,White Wine
5973,8.70,0.45,0.40,1.50,0.07,17.00,100.00,1.00,3.27,0.57,10.10,6,White Wine
560,4.70,0.79,0.00,3.40,0.04,23.00,134.00,0.99,3.53,0.92,13.80,6,White Wine
5425,7.20,0.44,0.28,3.40,0.05,22.00,112.00,0.99,3.21,0.37,11.30,7,White Wine
1605,7.30,0.25,0.26,7.20,0.05,52.00,207.00,1.00,3.12,0.37,9.20,5,White Wine
6313,8.70,0.69,0.00,3.20,0.08,13.00,33.00,1.00,3.36,0.45,9.40,5,Red Wine
5795,7.60,0.27,0.42,2.60,0.04,29.00,110.00,0.99,3.31,0.51,12.70,6,White Wine
1472,7.60,0.40,0.27,1.20,0.05,23.00,193.00,0.99,3.22,0.38,11.60,5,White Wine
3678,6.90,0.27,0.49,23.50,0.06,59.00,235.00,1.00,2.98,0.47,8.60,5,White Wine
256,5.80,0.23,0.27,1.80,0.04,24.00,69.00,0.99,3.38,0.31,9.40,6,White Wine
6001,7.10,0.20,0.37,1.50,0.05,28.00,129.00,0.99,3.15,0.52,10.80,5,White Wine
3762,10.20,0.65,0.36,1.80,0.05,5.00,14.00,1.00,3.17,0.42,10.00,6,Red Wine
5412,6.20,0.15,0.49,0.90,0.03,17.00,51.00,0.99,3.30,0.70,9.40,6,White Wine
1954,9.50,0.59,0.44,2.30,0.07,21.00,68.00,1.00,3.46,0.63,9.50,5,Red Wine
816,6.20,0.28,0.22,7.30,0.04,26.00,157.00,1.00,3.44,0.64,9.80,7,White Wine
2435,7.70,0.24,0.31,1.30,0.05,33.00,106.00,0.99,3.22,0.55,10.80,6,White Wine
1634,6.90,0.23,0.40,7.50,0.04,50.00,151.00,0.99,3.11,0.27,11.40,6,White Wine
973,6.50,0.28,0.28,20.40,0.04,40.00,144.00,1.00,3.14,0.38,8.70,5,White Wine
4464,7.40,0.23,0.25,1.40,0.05,43.00,141.00,0.99,3.42,0.54,10.20,7,White Wine
2023,6.50,0.33,0.38,2.50,0.05,30.00,148.00,0.99,3.17,0.43,12.70,6,White Wine
2965,10.10,0.65,0.37,5.10,0.11,11.00,65.00,1.00,3.32,0.64,10.40,6,Red Wine
201,6.90,0.18,0.30,2.00,0.04,39.00,190.00,0.99,3.32,0.37,12.20,6,White Wine
2431,7.70,0.32,0.62,10.60,0.04,56.00,153.00,1.00,3.13,0.44,8.90,6,White Wine
5632,7.10,0.59,0.01,2.30,0.08,27.00,43.00,1.00,3.42,0.58,10.70,6,Red Wine
6026,8.50,0.21,0.52,1.90,0.09,9.00,23.00,1.00,3.36,0.67,10.40,5,Red Wine
2418,6.90,0.37,0.23,9.50,0.06,54.00,166.00,1.00,3.23,0.42,10.00,5,White Wine
4651,6.10,0.36,0.27,2.10,0.04,16.00,100.00,0.99,3.40,0.71,11.50,7,White Wine
5050,7.40,0.63,0.07,2.40,0.09,11.00,37.00,1.00,3.43,0.76,9.70,6,Red Wine
3455,8.10,0.43,0.42,6.60,0.03,36.00,141.00,0.99,2.98,0.39,13.30,7,White Wine
6167,7.00,0.17,0.33,4.00,0.03,17.00,127.00,0.99,3.19,0.39,10.60,7,White Wine
5819,11.10,0.31,0.53,2.20,0.06,3.00,10.00,1.00,3.02,0.83,10.90,7,Red Wine
4226,6.30,0.28,0.29,6.80,0.05,40.00,143.00,0.99,3.43,0.59,11.00,6,White Wine
6242,6.40,0.20,0.32,3.10,0.04,18.00,126.00,0.99,3.43,0.42,12.00,6,White Wine
931,7.90,0.40,0.29,1.80,0.16,1.00,44.00,1.00,3.30,0.92,9.50,6,Red Wine
6267,6.00,0.52,0.33,7.70,0.05,24.00,119.00,0.99,3.04,0.38,11.00,6,White Wine
1987,9.30,0.38,0.48,3.80,0.13,3.00,11.00,1.00,3.23,0.57,13.20,6,Red Wine
6062,7.20,0.34,0.32,2.50,0.09,43.00,113.00,1.00,3.32,0.79,11.10,5,Red Wine
2787,5.90,0.26,0.29,5.40,0.05,34.00,116.00,0.99,3.24,0.41,11.40,6,White Wine
4305,6.80,0.15,0.41,12.90,0.04,79.50,183.00,1.00,3.24,0.78,10.20,6,White Wine
2610,6.80,0.26,0.33,1.50,0.05,44.00,167.00,0.99,3.12,0.44,10.50,6,White Wine
5531,7.60,0.48,0.28,10.40,0.05,57.00,205.00,1.00,3.24,0.45,9.30,5,White Wine
4182,7.60,0.20,0.30,14.20,0.06,53.00,212.50,1.00,3.14,0.46,8.90,8,White Wine
4968,7.50,0.23,0.32,9.20,0.04,54.00,191.00,1.00,3.04,0.56,9.70,6,White Wine
2059,6.40,0.30,0.36,2.00,0.05,18.00,141.00,0.99,3.38,0.53,10.50,6,White Wine
307,7.40,0.20,0.29,1.70,0.05,16.00,100.00,0.99,3.28,0.45,10.60,6,White Wine
5200,9.10,0.76,0.68,1.70,0.41,18.00,64.00,1.00,2.90,1.33,9.10,6,Red Wine
6176,5.70,0.16,0.26,6.30,0.04,28.00,113.00,0.99,3.06,0.58,9.90,6,White Wine
5302,6.80,0.32,0.39,9.60,0.03,34.00,124.00,0.99,3.18,0.35,12.10,6,White Wine
1152,7.00,0.16,0.73,1.00,0.14,58.00,150.00,0.99,3.08,0.30,9.20,5,White Wine
275,5.70,0.27,0.32,1.20,0.05,20.00,155.00,0.99,3.80,0.41,10.20,6,White Wine
5294,7.40,0.64,0.10,2.40,0.08,16.00,33.00,1.00,3.58,0.69,10.80,7,Red Wine
5674,10.60,0.48,0.64,2.20,0.11,6.00,20.00,1.00,3.26,0.66,11.70,6,Red Wine
5491,9.90,0.35,0.55,2.10,0.06,5.00,14.00,1.00,3.26,0.79,10.60,5,Red Wine
1208,7.70,0.66,0.04,1.60,0.04,4.00,9.00,1.00,3.40,0.47,9.40,5,Red Wine
2492,6.80,0.30,0.26,20.30,0.04,45.00,150.00,1.00,3.04,0.38,12.30,6,White Wine
2536,6.80,0.18,0.21,5.40,0.05,34.00,104.00,0.99,3.30,0.43,9.40,5,White Wine
6430,8.20,0.40,0.44,2.80,0.09,11.00,43.00,1.00,3.53,0.61,10.50,6,Red Wine
5400,5.80,0.32,0.28,4.30,0.03,46.00,115.00,0.99,3.16,0.57,13.00,8,White Wine
637,8.00,0.19,0.36,1.80,0.05,16.00,84.00,0.99,3.15,0.45,9.80,7,White Wine
770,6.80,0.18,0.30,12.80,0.06,19.00,171.00,1.00,3.00,0.52,9.00,7,White Wine
94,7.20,0.23,0.39,14.20,0.06,49.00,192.00,1.00,2.98,0.48,9.00,7,White Wine
3298,6.70,0.12,0.36,2.30,0.04,43.00,125.00,0.99,3.07,0.67,10.10,7,White Wine
5995,6.20,0.28,0.33,1.70,0.03,24.00,111.00,0.99,3.24,0.50,12.10,6,White Wine
6000,7.30,0.22,0.41,15.40,0.05,55.00,191.00,1.00,3.32,0.59,8.90,6,White Wine
2344,9.10,0.28,0.49,2.00,0.06,10.00,112.00,1.00,3.15,0.46,10.10,5,White Wine
5448,7.10,0.27,0.60,2.10,0.07,17.00,25.00,1.00,3.38,0.72,10.60,6,Red Wine
3091,6.90,0.24,0.40,15.40,0.05,81.00,198.00,1.00,3.20,0.69,9.40,5,White Wine
4703,7.20,0.24,0.27,1.40,0.04,31.00,122.00,0.99,3.15,0.46,10.30,6,White Wine
3912,5.60,0.26,0.00,10.20,0.04,13.00,111.00,0.99,3.44,0.46,12.40,6,White Wine
1434,6.70,0.20,0.41,9.10,0.04,50.00,166.00,1.00,3.14,0.58,9.80,6,White Wine
5368,9.10,0.40,0.57,4.60,0.08,6.00,20.00,1.00,3.28,0.57,12.50,6,Red Wine
180,7.10,0.18,0.39,15.25,0.05,45.00,158.00,1.00,3.34,0.77,9.10,6,White Wine
2371,8.10,1.33,0.00,1.80,0.08,3.00,12.00,1.00,3.54,0.48,10.90,5,Red Wine
3854,5.00,0.55,0.14,8.30,0.03,35.00,164.00,0.99,3.53,0.51,12.50,8,White Wine
4845,5.90,0.19,0.26,7.40,0.03,33.00,123.00,0.99,3.49,0.42,10.10,6,White Wine
2187,6.70,0.41,0.27,2.60,0.03,25.00,85.00,0.99,3.05,0.34,11.70,6,White Wine
5116,6.60,0.56,0.15,10.00,0.04,38.00,157.00,1.00,3.28,0.52,9.40,5,White Wine
2646,6.60,0.29,0.44,9.00,0.05,62.00,178.00,1.00,3.02,0.45,8.90,5,White Wine
3533,6.70,0.30,0.50,12.10,0.04,38.00,127.00,1.00,3.04,0.53,8.90,6,White Wine
2937,9.60,0.77,0.12,2.90,0.08,30.00,74.00,1.00,3.30,0.64,10.40,6,Red Wine
1645,8.40,0.20,0.38,11.80,0.06,51.00,170.00,1.00,3.34,0.82,8.90,6,White Wine
4939,6.20,0.12,0.34,1.50,0.04,43.00,117.00,0.99,3.42,0.51,9.00,6,White Wine
1552,5.90,0.36,0.04,5.70,0.05,21.00,87.00,0.99,3.22,0.51,10.20,5,White Wine
3224,5.60,0.19,0.46,1.10,0.03,33.00,115.00,0.99,3.36,0.50,10.40,6,White Wine
5021,6.70,0.48,0.49,2.90,0.03,28.00,122.00,0.99,3.13,0.40,13.00,6,White Wine
2197,9.00,0.58,0.25,2.00,0.10,8.00,21.00,1.00,3.27,0.72,9.60,5,Red Wine
1134,8.50,0.19,0.49,3.50,0.04,29.00,117.00,0.99,3.14,0.51,10.10,6,White Wine
25,8.10,0.28,0.34,1.30,0.04,11.00,126.00,0.99,3.14,0.50,9.80,6,White Wine
1488,7.10,0.68,0.00,2.30,0.09,17.00,26.00,1.00,3.45,0.53,9.50,5,Red Wine
956,5.80,0.28,0.66,9.10,0.04,26.00,159.00,1.00,3.66,0.55,10.80,5,White Wine
1913,6.40,0.62,0.12,4.70,0.06,33.00,196.00,1.00,3.22,0.48,8.90,5,White Wine
2934,5.90,0.28,0.14,8.60,0.03,30.00,142.00,1.00,3.28,0.44,9.50,6,White Wine
5237,7.40,0.64,0.07,1.80,0.10,8.00,23.00,1.00,3.30,0.58,9.60,5,Red Wine
1469,5.90,0.25,0.25,11.30,0.05,30.00,165.00,1.00,3.24,0.44,9.50,6,White Wine
5715,6.40,0.86,0.03,3.20,0.07,27.00,58.00,0.99,3.61,0.49,12.70,6,Red Wine
2721,5.30,0.20,0.31,3.60,0.04,22.00,91.00,0.99,3.41,0.50,9.80,6,White Wine
1896,8.60,0.33,0.34,11.80,0.06,42.00,240.00,1.00,3.17,0.52,10.00,6,White Wine
928,8.30,0.40,0.41,8.20,0.05,15.00,122.00,1.00,3.39,0.49,9.30,5,White Wine
5627,6.10,0.21,0.40,1.40,0.07,40.50,165.00,0.99,3.25,0.59,11.90,6,Red Wine
2811,6.60,0.56,0.16,3.10,0.04,28.00,92.00,0.99,3.12,0.35,9.10,6,White Wine
6265,7.60,0.36,0.49,11.30,0.05,87.00,221.00,1.00,3.01,0.43,9.20,5,White Wine
5446,6.20,0.20,0.28,1.10,0.04,24.00,78.00,0.99,3.36,0.47,12.10,6,White Wine
469,5.90,0.32,0.19,14.50,0.04,37.00,115.00,1.00,3.16,0.43,10.30,5,White Wine
2335,7.00,0.20,0.40,1.10,0.06,30.00,93.00,0.99,3.03,0.38,9.20,6,White Wine
525,6.90,0.34,0.49,7.30,0.04,61.00,206.00,1.00,3.09,0.40,9.00,6,White Wine
1863,6.50,0.26,0.27,12.90,0.04,69.00,215.00,1.00,3.17,0.43,10.00,6,White Wine
1720,8.50,0.28,0.34,13.80,0.04,32.00,161.00,1.00,3.13,0.40,9.90,6,White Wine
5272,6.50,0.17,0.31,1.50,0.04,34.00,121.00,0.99,3.06,0.46,10.50,6,White Wine
591,10.30,0.32,0.45,6.40,0.07,5.00,13.00,1.00,3.23,0.82,12.60,8,Red Wine
6185,6.80,0.19,0.40,9.85,0.06,41.00,103.00,1.00,2.98,0.56,10.50,6,White Wine
2322,7.10,0.27,0.31,18.20,0.05,55.00,252.00,1.00,3.07,0.56,8.70,5,White Wine
3510,6.50,0.63,0.33,1.80,0.06,16.00,28.00,1.00,3.36,0.64,10.10,6,Red Wine
207,6.20,0.25,0.25,1.40,0.03,35.00,105.00,0.99,3.30,0.44,11.10,7,White Wine
4262,7.10,0.23,0.35,16.50,0.04,60.00,171.00,1.00,3.16,0.59,9.10,6,White Wine
6255,12.40,0.35,0.49,2.60,0.08,27.00,69.00,1.00,3.12,0.75,10.40,6,Red Wine
3421,8.20,0.27,0.43,1.60,0.04,31.00,128.00,0.99,3.10,0.50,12.30,6,White Wine
4089,8.20,0.34,1.00,18.20,0.05,55.00,205.00,1.00,2.96,0.43,9.60,5,White Wine
5249,7.70,0.71,0.01,2.10,0.06,31.00,43.00,0.99,3.41,0.57,11.80,6,Red Wine
1910,6.90,0.25,0.24,3.60,0.06,13.00,85.00,0.99,2.99,0.48,9.50,4,White Wine
2860,7.00,0.36,0.32,10.50,0.04,35.00,135.00,0.99,3.09,0.33,11.60,8,White Wine
216,7.00,0.35,0.17,1.10,0.05,7.00,119.00,0.99,3.13,0.36,9.70,6,White Wine
24,7.30,0.28,0.36,12.70,0.04,38.00,140.00,1.00,3.30,0.79,9.60,6,White Wine
4163,7.40,0.64,0.07,1.80,0.10,8.00,23.00,1.00,3.30,0.58,9.60,5,Red Wine
3026,5.40,0.59,0.10,2.80,0.04,26.00,80.00,0.99,3.36,0.38,9.30,5,White Wine
5103,6.20,0.51,0.14,1.90,0.06,15.00,34.00,0.99,3.48,0.57,11.50,6,Red Wine
2282,7.40,0.23,0.38,8.60,0.05,41.00,150.00,1.00,3.06,0.46,10.30,5,White Wine
1740,7.20,0.16,0.29,1.00,0.03,40.00,123.00,0.99,3.12,0.40,12.10,7,White Wine
6118,6.00,0.67,0.07,1.20,0.06,9.00,108.00,0.99,3.11,0.35,8.70,4,White Wine
4387,6.40,0.31,0.31,12.90,0.04,55.00,161.00,1.00,3.02,0.59,10.20,5,White Wine
5846,7.00,0.30,0.27,1.50,0.08,24.00,145.00,0.99,3.10,0.52,10.10,5,White Wine
5118,7.40,0.22,0.33,2.00,0.04,31.00,101.00,0.99,3.42,0.55,11.40,5,White Wine
3781,9.00,0.82,0.05,2.40,0.08,26.00,96.00,1.00,3.36,0.53,10.00,5,Red Wine
2775,5.60,0.26,0.27,10.60,0.03,27.00,119.00,0.99,3.40,0.34,10.70,7,White Wine
2603,6.70,0.27,0.31,15.70,0.04,44.00,179.00,1.00,3.26,0.56,9.60,5,White Wine
5736,6.10,0.28,0.16,1.30,0.06,36.00,126.00,0.99,3.13,0.46,8.70,6,White Wine
6356,8.40,0.56,0.04,2.00,0.08,10.00,22.00,1.00,3.22,0.44,9.60,5,Red Wine
1162,6.80,0.22,0.35,17.50,0.04,38.00,153.00,1.00,3.24,0.42,9.00,6,White Wine
5814,7.30,0.22,0.49,9.90,0.03,48.00,161.00,0.99,3.01,0.28,11.20,6,White Wine
4075,6.80,0.27,0.42,7.30,0.05,58.00,200.00,1.00,3.12,0.49,9.40,6,White Wine
5541,6.30,0.27,0.25,5.80,0.04,52.00,155.00,0.99,3.28,0.38,9.40,6,White Wine
623,7.10,0.17,0.40,14.55,0.05,47.00,156.00,1.00,3.34,0.78,9.10,6,White Wine
5659,6.40,0.33,0.30,7.20,0.04,42.00,168.00,0.99,3.22,0.49,11.10,6,White Wine
4051,10.30,0.41,0.42,2.40,0.21,6.00,14.00,1.00,3.19,0.62,9.50,6,Red Wine
1241,6.80,0.32,0.28,4.80,0.03,25.00,100.00,0.99,3.08,0.47,12.40,7,White Wine
2711,5.00,0.33,0.16,1.50,0.05,10.00,97.00,0.99,3.48,0.44,10.70,6,White Wine
821,9.30,0.43,0.44,1.90,0.09,9.00,22.00,1.00,3.28,0.55,9.50,5,Red Wine
4403,9.40,0.27,0.53,2.40,0.07,6.00,18.00,1.00,3.20,1.13,12.00,7,Red Wine
1198,7.50,0.17,0.71,11.80,0.04,52.00,148.00,1.00,3.03,0.46,8.90,5,White Wine
5268,6.90,0.32,0.26,8.30,0.05,32.00,180.00,1.00,3.25,0.51,9.20,6,White Wine
2997,4.40,0.54,0.09,5.10,0.04,52.00,97.00,0.99,3.41,0.40,12.20,7,White Wine
5661,5.80,0.30,0.42,1.10,0.04,19.00,113.00,0.99,3.10,0.46,12.60,7,White Wine
2595,9.40,0.40,0.47,2.50,0.09,6.00,20.00,1.00,3.15,0.50,10.50,5,Red Wine
807,7.80,0.82,0.29,4.30,0.08,21.00,64.00,1.00,3.16,0.53,9.40,5,Red Wine
3465,7.70,0.39,0.12,1.70,0.10,19.00,27.00,1.00,3.16,0.49,9.40,5,Red Wine
2121,7.50,0.15,0.38,1.80,0.05,19.00,101.00,0.99,3.24,0.44,10.00,5,White Wine
4393,7.20,0.20,0.61,16.20,0.04,14.00,103.00,1.00,3.06,0.36,9.20,6,White Wine
3886,7.40,0.25,0.36,2.05,0.05,31.00,100.00,0.99,3.19,0.44,10.80,6,White Wine
730,6.60,0.24,0.38,8.00,0.04,56.00,187.00,1.00,3.21,0.46,9.20,5,White Wine
6066,6.70,0.22,0.39,10.20,0.04,60.00,149.00,1.00,3.17,0.54,10.00,7,White Wine
1795,7.00,0.23,0.33,1.00,0.04,46.00,110.00,0.99,3.04,0.65,10.80,6,White Wine
1823,6.10,0.34,0.46,4.70,0.03,21.00,94.00,0.99,3.29,0.62,12.30,6,White Wine
